Ammattioikeus_koodi;Ammattioikeus;Ammattioikeus SV;Ammattioikeus EN;Vuosi;Ikä;Ammattioikeuksien lkm;Ammattihenkilöiden lkm
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2009;>=65;3444;3444
001;laillistettu lääkäri;legitimerad läkare;registered medical doctor;2009;<65;12075;12075
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2009;>=65;1485;1485
003;laillistettu hammaslääkäri;legitimerad tandläkare;registered dental practitioner;2009;<65;4976;4976
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2009;>=65;3841;3841
005;laillistettu farmaseutti;legitimerad farmaceut;registered dispenser;2009;<65;8776;8776
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2009;>=65;464;464
006;laillistettu proviisori;legitimerad provisor;registered pharmacist;2009;<65;2537;2537
007;laillistettu optikko;legitimerad optiker;registered optician;2009;>=65;206;206
007;laillistettu optikko;legitimerad optiker;registered optician;2009;<65;1761;1761
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2009;>=65;229;229
008;laillistettu hammasteknikko;legitimerad tandtekniker;registered dental technician;2009;<65;887;887
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2009;>=65;570;570
009;laillistettu psykologi;legitimerad psykolog;registered psychologist;2009;<65;5562;5562
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2009;>=65;567;567
010;nimikesuojattu psykoterapeutti;psykoterapeut med skyddad yrkesbeteckning;psychotherapist with protected occupational title;2009;<65;4653;4653
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2009;>=65;67;67
012;laillistettu puheterapeutti;legitimerad talterapeut;registered speech therapist;2009;<65;1247;1247
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2009;>=65;18;18
014;laillistettu toimintaterapeutti;legitimerad ergoterapeut;registered occupational therapist;2009;<65;2279;2279
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2009;>=65;13;13
016;laillistettu ravitsemusterapeutti;legitimerad näringsterapeut;registered dietitian;2009;<65;463;463
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2009;>=65;17;17
020;nimikesuojattu sairaalafyysikko;sjukhusfysiker med skyddad yrkesbeteckning;hospital physicist with protected occupational title;2009;<65;102;102
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2009;>=65;Alle 5;Alle 5
021;nimikesuojattu sairaalageneetikko;sjukhusgenetiker med skyddad yrkesbeteckning;hospital geneticist with protected occupational title;2009;<65;17;17
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2009;>=65;47;47
022;nimikesuojattu sairaalakemisti;sjukhuskemist med skyddad yrkesbeteckning;hospital chemist with protected occupational title;2009;<65;145;145
023;nimikesuojattu sairaalamikrobiologi;sjukhusmikrobiolog med skyddad yrkesbeteckning;hospital microbiologist with protected occupational title;2009;>=65;Alle 5;Alle 5
